Order_ID,Customer_ID,Customer_Name,Gender,Age,Customer_Segment,Country,State,City,Category,Sub_Category,Product,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Shipping_Cost,Sales,Cost,Profit,Payment_Method,Order_Status,Order_Date,Delivery_Date,Customer_Rating
ORD-1000045,CUST-11409,Aditya Das,Male,37.0,Premium,India,Delhi,Delhi,Electronics,Audio,Tablet,13981.39,2,20.0,5592.56,56.96,22427.18,22318.99,108.19,Wallet,Delivered,2024-12-09,2024-12-11,3.3
ORD-1000046,CUST-12573,Ananya Mehta,Female,42.0,Regular,India,Telangana,Hyderabad,Fashion,Women,Shoes,5611.19,3,10.0,1683.36,128.0,15278.21,14023.27,1254.94,Wallet,Delivered,2026-02-12,2026-02-17,3.2
ORD-1000047,CUST-25988,Kavya Reddy,Male,48.0,New,Canada,British Columbia,Vancouver,Fashion,Women,Jacket,6597.82,2,5.0,659.78,234.43,12770.29,11158.29,1612.0,Credit Card,Delivered,2026-03-22,2026-04-01,4.0
ORD-1000048,CUST-30508,Aisha Mehta,Male,53.0,VIP,United States,California,Los Angeles,Grocery,Food,Cooking Oil,1364.45,1,0.0,0.0,225.64,1590.09,1334.5,255.59,Debit Card,Cancelled,2025-03-04,2025-03-11,4.4
ORD-1000049,CUST-12120,Ananya Mehta,Female,42.0,VIP,India,,Ahmedabad,Electronics,Audio,Smartwatch,26483.53,1,10.0,2648.35,111.72,23946.9,22154.58,1792.32,Credit Card,Delivered,2024-04-26,2024-04-30,5.0
ORD-1000050,CUST-10338,,Female,40.0,VIP,India,Delhi,Delhi,Books,Non-Fiction,Business Book,939.6,1,,0.0,114.79,1054.39,798.21,256.18,Wallet,Returned,2023-08-04,2023-08-10,4.2
ORD-1000051,CUST-19018,James Thomas,Female,56.0,Premium,United States,New York,New York,Grocery,Household,Cooking Oil,3431.3,2,5.0,343.13,301.41,6820.88,6104.81,716.07,Debit Card,Delivered,2023-05-17,2023-05-23,
ORD-1000052,CUST-27304,Emma Patel,Female,62.0,Premium,India,West Bengal,Kolkata,Fashion,,Shoes,4575.25,2,10.0,915.05,221.09,8456.54,6239.31,2217.23,Wallet,Delivered,2025-09-08,2025-09-09,4.2
ORD-1000053,CUST-20616,Kavya Anderson,Male,56.0,Premium,India,Telangana,Hyderabad,Home & Kitchen,Home Decor,Office Chair,18498.37,3,10.0,5549.51,118.61,50064.21,44972.63,5091.58,UPI,Delivered,2024-11-27,2024-11-28,4.5
ORD-1000054,CUST-22260,Aisha Wilson,Male,63.0,Premium,India,Tamil Nadu,Chennai,Fashion,Accessories,Jeans,6067.25,1,30.0,1820.17,53.26,4300.34,4420.1,-119.76,Wallet,Delivered,2023-03-02,2023-03-06,4.9
ORD-1000055,CUST-33696,Aditya Singh,Male,64.0,Regular,India,Delhi,Delhi,Electronics,Computer,Smartphone,5573.36,3,20.0,3344.02,233.48,13609.54,13293.94,315.6,Cash on Delivery,Delivered,2024-12-27,2025-01-03,3.5
ORD-1000056,CUST-17291,Liam Reddy,Male,22.0,Regular,India,Maharashtra,Mumbai,Fashion,Accessories,Jacket,3523.17,3,0.0,0.0,155.47,10724.98,9154.97,1570.01,Credit Card,Delivered,2026-06-03,2026-06-07,4.6
ORD-1000057,CUST-29623,Aarav Johnson,Female,58.0,Regular,India,Maharashtra,Mumbai,Electronics,Wearable,Tablet,52990.11,2,,15897.03,45.74,90128.93,84050.56,6078.37,Net Banking,Delivered,2026-08-05,2026-08-10,4.2
ORD-1000058,CUST-28787,Vivaan Anderson,Female,29.0,Regular,United States,Illinois,Chicago,Beauty,Fragrance,Hair Dryer,13228.19,3,0.0,0.0,212.07,39896.64,29011.04,10885.6,Net Banking,Delivered,2023-03-23,2023-03-31,
ORD-1000059,CUST-26661,Arjun Kumar,Female,67.0,New,India,Maharashtra,Pune,Electronics,Audio,Tablet,13166.29,1,10.0,1316.63,126.3,11975.96,11674.17,301.79,UPI,Delivered,2024-07-25,2024-07-31,3.4
ORD-1000060,CUST-34604,Aisha Sharma,Male,32.0,New,United Kingdom,England,Manchester,Fashion,Accessories,Jeans,840.32,5,30.0,1260.48,210.88,3152.0,2946.86,205.14,Debit Card,Delivered,2025-10-27,2025-11-03,2.6
ORD-1000061,CUST-29280,Neha Mehta,Male,38.0,New,Australia,New South Wales,Sydney,Electronics,Audio,Smartphone,53382.78,1,25.0,13345.69,221.55,40258.64,43023.47,-2764.83,Net Banking,Delivered,2026-01-12,2026-01-16,4.7
ORD-1000062,CUST-28639,Priya Wilson,Male,34.0,Regular,India,Maharashtra,Mumbai,Home & Kitchen,Furniture,Office Chair,6769.41,3,5.0,1015.41,148.19,19441.01,15029.02,4411.99,Debit Card,Delivered,2024-05-06,2024-05-12,4.5
ORD-1000063,CUST-15109,Vivaan Mehta,Male,30.0,Regular,India,Telangana,,Grocery,Household,Cooking Oil,701.44,1,15.0,105.22,213.04,809.26,750.14,59.12,Net Banking,Delivered,2024-06-04,2024-06-08,2.9
ORD-1000064,CUST-29501,Liam Reddy,Female,37.0,Regular,India,Tamil Nadu,Chennai,Grocery,Household,Breakfast Cereal,2523.24,3,0.0,0.0,52.31,7622.03,6350.07,1271.96,,Delivered,2025-06-07,,3.3
ORD-1000065,CUST-11925,Ananya Reddy,Female,48.0,Premium,India,Maharashtra,Mumbai,Books,Education,Textbook,1173.67,1,20.0,234.73,122.64,1061.58,960.19,101.39,Credit Card,Cancelled,2023-04-16,2023-04-23,4.7
ORD-1000066,CUST-34251,Kavya Anderson,Male,29.0,Regular,Australia,Western Australia,Perth,Books,Non-Fiction,Children Book,2302.31,4,15.0,1381.39,236.14,8063.99,8369.15,-305.16,Net Banking,Delivered,2025-03-19,2025-03-28,2.8
ORD-1000067,CUST-24025,William Singh,Male,32.0,Regular,India,Telangana,Hyderabad,Electronics,Audio,Tablet,5480.96,1,15.0,822.14,193.81,4852.63,5017.79,-165.16,Cash on Delivery,Delivered,2023-11-08,2023-11-13,4.1
ORD-1000068,CUST-32015,Arjun Patel,Female,53.0,Regular,Australia,Victoria,Melbourne,Beauty,Skincare,Makeup Kit,4708.5,5,0.0,0.0,265.71,23808.21,17761.77,6046.44,Credit Card,Returned,2026-02-14,2026-02-23,3.3
ORD-1000069,CUST-14648,Liam Anderson,Female,42.0,Premium,India,Delhi,Delhi,Sports,Team Sports,Cricket Bat,11541.49,2,15.0,3462.45,24.59,19645.12,18725.57,919.55,Wallet,Delivered,2023-01-02,2023-01-07,3.8
ORD-1000070,CUST-20831,Kavya Taylor,Male,47.0,Regular,India,Maharashtra,Pune,Fashion,Men,Dress,3142.92,1,30.0,942.88,11.09,2211.13,2157.32,53.81,Net Banking,Delivered,2023-09-27,2023-10-01,5.0
ORD-1000071,CUST-26001,Ananya Thomas,Male,43.0,Regular,India,Maharashtra,Pune,Fashion,Men,Jacket,3181.33,3,20.0,1908.8,179.52,7814.71,7094.04,720.67,Debit Card,Delivered,2024-09-11,2024-09-14,4.0
ORD-1000072,CUST-13249,Neha Reddy,Male,62.0,Regular,Australia,New South Wales,Sydney,Electronics,Computer,Headphones,64379.1,2,,19313.73,254.74,109699.21,111157.44,-1458.23,Credit Card,Delivered,2024-03-02,2024-03-09,4.2
ORD-1000073,CUST-20055,Olivia Kumar,Female,36.0,New,India,Telangana,Hyderabad,Grocery,Food,Cooking Oil,3059.51,2,10.0,611.9,74.45,5581.57,5099.93,481.64,Wallet,Delivered,2023-10-30,2023-11-03,
ORD-1000074,CUST-25740,Saurabh Anderson,Female,36.0,New,United States,California,Los Angeles,Fashion,Women,Jeans,4787.42,3,40.0,5744.9,226.58,8843.94,11345.39,-2501.45,Credit Card,Delivered,2025-08-28,2025-09-04,
ORD-1000075,CUST-24437,,Male,31.0,Premium,India,Tamil Nadu,Chennai,Home & Kitchen,Furniture,Mixer,6251.37,1,20.0,1250.27,92.6,5093.7,5083.41,10.29,Wallet,Delivered,2023-11-01,2023-11-02,5.0
ORD-1000076,CUST-23178,Aisha Taylor,Female,60.0,Regular,United States,California,Los Angeles,Home & Kitchen,Furniture,Bedsheet,6580.29,1,15.0,987.04,413.0,6006.25,5565.25,441.0,Net Banking,Cancelled,2024-05-12,2024-05-20,4.1
ORD-1000077,CUST-31923,James Patel,Male,21.0,New,India,Telangana,Hyderabad,Home & Kitchen,Kitchen,Office Chair,3578.55,2,15.0,1073.57,115.62,6199.15,5495.21,703.94,Wallet,Delivered,2026-03-25,2026-03-26,4.3
ORD-1000078,CUST-21130,Emma Das,Female,38.0,New,United States,California,Los Angeles,Books,Education,Novel,,1,0.0,0.0,217.69,941.63,667.16,274.47,UPI,Delivered,2024-07-12,2024-07-21,3.2
ORD-1000079,CUST-13040,James Gupta,Male,52.0,New,India,Delhi,Delhi,Grocery,Beverages,Rice Pack,910.25,3,25.0,682.69,153.43,2201.49,2576.99,-375.5,UPI,Delivered,2025-05-06,2025-05-11,3.4
ORD-1000080,CUST-32986,Rahul Mehta,Male,36.0,Premium,India,Gujarat,Ahmedabad,Fashion,Accessories,Jacket,2073.01,1,15.0,310.95,166.69,1928.75,1581.6,347.15,Wallet,Delivered,2024-09-28,2024-09-29,3.7
ORD-1000081,CUST-33781,Priya Patel,Female,61.0,,India,Maharashtra,Mumbai,Sports,Fitness,Cricket Bat,3505.22,1,10.0,350.52,105.75,3260.45,2909.85,350.6,Debit Card,Delivered,2024-05-31,2024-06-05,3.5
ORD-1000082,CUST-33197,,Male,29.0,New,India,Maharashtra,Pune,Sports,Team Sports,Cricket Bat,11029.37,1,15.0,1654.41,50.65,9425.61,8850.44,575.17,Debit Card,Cancelled,2024-03-21,2024-03-27,3.6
ORD-1000083,CUST-19715,Vivaan Taylor,Male,50.0,Regular,India,Telangana,Hyderabad,Beauty,Skincare,Makeup Kit,11800.48,2,0.0,0.0,21.5,23622.46,16886.83,6735.63,Net Banking,Delivered,2026-03-30,2026-04-04,5.0
ORD-1000084,CUST-34819,Kavya Wilson,Female,59.0,Premium,India,Karnataka,,Fashion,Footwear,T-Shirt,6314.62,4,25.0,6314.62,151.43,19095.29,20105.46,-1010.17,Net Banking,Delivered,2026-01-29,2026-02-01,4.5
ORD-1000085,CUST-18286,Olivia Sharma,Female,63.0,Regular,India,Maharashtra,Mumbai,Fashion,Women,Jacket,1458.34,4,15.0,875.0,161.97,5120.33,4830.57,289.76,,Returned,2025-03-03,2025-03-04,3.8
ORD-1000086,CUST-32331,Saurabh Taylor,Male,19.0,Premium,Canada,Ontario,Toronto,Fashion,Women,Dress,3958.79,1,20.0,791.76,266.93,3433.96,3389.88,44.08,Debit Card,Delivered,2025-09-15,2025-09-20,2.9
ORD-1000087,CUST-34975,Aarav Kumar,Female,57.0, nan ,India,Tamil Nadu,Chennai,Grocery,Household,Dry Fruits,2567.74,1,0.0,0.0,139.48,2707.22,2159.81,547.41,Cash on Delivery,Delivered,2023-07-09,2023-07-12,3.6
ORD-1000088,CUST-13716,Vivaan Anderson,Male,55.0,Regular,United States,Texas,Houston,Books,Non-Fiction,Textbook,2403.63,2,10.0,480.73,113.92,4440.45,4046.3,394.15,Credit Card,Delivered,2024-08-20,2024-09-01,4.4
ORD-1000089,CUST-34345,Arjun Patel,Male,35.0,,India,Delhi,Delhi,Fashion,Men,Dress,7467.86,2,0.0,0.0,36.45,14972.17,9758.44,5213.73,UPI,Delivered,2024-12-03,2024-12-04,4.0
ORD-1000090,CUST-33835,Aisha Das,Female,39.0,Premium,Canada,British Columbia,Vancouver,Beauty,Skincare,Hair Dryer,14437.07,1,15.0,2165.56,138.06,12409.57,9657.28,2752.29,UPI,Delivered,2023-08-20,2023-08-26,3.0
ORD-1000091,CUST-26749,Arjun Johnson,Female,36.0,Premium,United Kingdom,England,London,Home & Kitchen,Furniture,Bedsheet,15055.44,3,0.0,0.0,254.39,45420.71,33850.51,11570.2,Cash on Delivery,Delivered,2023-05-28,2023-06-02,5.0
ORD-1000092,CUST-34953,James Smith,Female,29.0,Premium,India,Telangana,Hyderabad,Sports,Outdoor,Football,1485.18,4,20.0,1188.14,59.7,4812.28,4719.53,92.75,Credit Card,Delivered,2023-08-05,2023-08-08,5.0
ORD-1000093,CUST-24291,Neha Singh,Female,38.0,Regular,United Kingdom,England,Liverpool,Electronics,Audio,Laptop,12235.11,1,10.0,1223.51,285.55,11297.15,10362.63,934.52,Wallet,Delivered,2025-09-11,2025-09-16,3.4
ORD-1000094,CUST-26140,James Patel,Male,32.0,,Canada,Ontario,Toronto,Home & Kitchen,Furniture,Bedsheet,5065.47,3,15.0,2279.46,328.74,13245.69,10674.95,2570.74,Credit Card,Delivered,2025-05-09,2025-05-14,
ORD-1000095,CUST-18553,Noah Mehta,Male,22.0,New,United Kingdom,England,Birmingham,Beauty,Cosmetics,Face Cream,7540.67,1,0.0,0.0,251.49,7792.16,6306.23,1485.93,Cash on Delivery,Delivered,2026-07-28,2026-08-02,4.4
ORD-1000096,CUST-29033,Neha Sharma,Male,51.0,VIP,India,Delhi,Delhi,Sports,Outdoor,Cricket Bat,12079.77,2,15.0,3623.93,168.06,20703.67,18013.88,2689.79,Cash on Delivery,Delivered,2023-08-22,2023-08-23,3.6
ORD-1000097,CUST-25379,Sophia Das,Female,46.0,Premium,Canada,Ontario,Toronto,Electronics,Wearable,Tablet,73149.4,2,10.0,14629.88,192.58,131861.5,116462.64,15398.86,Net Banking,Delivered,2025-05-20,2025-05-29,
ORD-1000098,CUST-27251,William Taylor,Male,66.0,Regular,United States,Texas,Houston,Electronics,Computer,Laptop,73358.0,3,10.0,22007.4,328.11,198394.71,194289.44,4105.27,Credit Card,Delivered,2025-07-15,2025-07-20,
ORD-1000099,CUST-12097,Aditya Taylor,Female,47.0,New,India,Maharashtra,Mumbai,Home & Kitchen,Home Decor,Table Lamp,2504.84,3,10.0,751.45,181.76,6944.83,6092.88,851.95,Net Banking,Delivered,2025-04-16,2025-04-20,3.1
ORD-1000100,CUST-25078,Rahul Patel,,41.0,VIP,Australia,Queensland,Brisbane,Grocery,Household,Cooking Oil,1599.33,3,5.0,239.9,236.55,4794.64,4131.88,662.76,Wallet,Delivered,2026-07-07,2026-07-16,3.6
ORD-1000101,CUST-17896,Emma Reddy,Male,62.0,New,India,Maharashtra,Pune,Sports,Fitness,Dumbbell Set,1151.54,1,5.0,57.58,95.77,1189.73,1054.26,135.47,Debit Card,Delivered,2026-05-28,2026-05-30,2.5
ORD-1000102,CUST-13959,Olivia Brown,Female,38.0,Regular,Canada,Ontario,Toronto,fashion,Men,Jeans,5566.99,1,20.0,1113.4,175.58,4629.17,4829.71,-200.54,Debit Card,Delivered,2024-05-06,2024-05-13,
ORD-1000103,CUST-10572,Vivaan Wilson,,58.0,VIP,India,Telangana,Hyderabad,Sports,Fitness,Cricket Bat,1797.38,1,5.0,89.87,45.52,1753.03,1579.35,173.68,UPI,Delivered,2025-10-11,,4.0
ORD-1000104,CUST-18535,Liam Mehta,Male,27.0,New,India,Tamil Nadu,Chennai,Books,Fiction,Textbook,554.91,1,0.0,0.0,111.38,666.29,513.44,152.85,Debit Card,Delivered,2024-08-10,2024-08-17,3.5
ORD-1000105,CUST-31360,Vivaan Brown,Male,20.0,New,India,West Bengal,Kolkata,Beauty,Haircare,Makeup Kit,342.36,2,0.0,0.0,64.06,748.78,582.73,166.05,UPI,Delivered,2025-09-27,2025-10-05,4.3
ORD-1000106,CUST-17239,Ananya Thomas,Male,63.0,Premium,United Kingdom,England,Birmingham,Sports,Team Sports,Cricket Bat,6269.94,5,5.0,1567.48,121.85,29904.07,23529.64,6374.43,Credit Card,Delivered,2023-06-13,2023-06-20,3.0
ORD-1000107,CUST-21205,Olivia Reddy,Female,26.0,New,United States,Arizona,Phoenix,Grocery,Household,Cooking Oil,3170.09,1,5.0,158.5,264.89,3276.48,3149.75,126.73,Wallet,Delivered,2024-11-18,2024-11-24,3.1
ORD-1000108,CUST-34217,Rohan Singh,Male,46.0,Regular,Australia,New South Wales,SYDNEY,Grocery,Beverages,Dry Fruits,2084.44,4,10.0,833.78,333.12,7837.1,7952.71,-115.61,Wallet,Delivered,2025-07-18,2025-07-30,3.2
